Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
DCA,LAX,"Washington, DC","Los Angeles, CA",19,146,1,2311,1993-01-01,8575206,23154972,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",14,184,1,2311,1994-02-01,8673930,23179000,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",19,182,1,2311,1994-02-01,8673930,23179000,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2598,4680,26,2311,2000-12-01,9642062,24797900,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",837,3780,21,2311,2000-09-01,9642062,24797900,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2564,5580,31,2311,2000-10-01,9642062,24797900,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2823,5220,29,2311,2000-11-01,9642062,24797900,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2881,5112,30,2311,2001-08-01,9854548,25051472,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2111,5580,31,2311,2001-03-01,9854548,25051472,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",1518,5400,30,2311,2001-01-01,9854548,25051472,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3098,5400,30,2311,2001-04-01,9854548,25051472,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2689,5376,30,2311,2001-07-01,9854548,25051472,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",1042,4500,25,2311,2001-02-01,9854548,25051472,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",3287,5400,30,2311,2001-05-01,9854548,25051472,38.8521,-77.037697,33.94250107,-118.4079971
DCA,LAX,"Washington, DC","Los Angeles, CA",2697,5220,29,2311,2001-06-01,9854548,25051472,38.8521,-77.037697,33.94250107,-118.4079971
